2025-07-13 10:33:21 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
2025-07-13 10:33:21 | DEBUG | httpx | load_verify_locations cafile='C:\\Users\\troubleman96\\Desktop\\APIS\\Ecommerce\\backend\\venv\\Lib\\site-packages\\certifi\\cacert.pem'
2025-07-13 10:33:23 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
2025-07-13 10:33:23 | DEBUG | httpx | load_verify_locations cafile='C:\\Users\\troubleman96\\Desktop\\APIS\\Ecommerce\\backend\\venv\\Lib\\site-packages\\certifi\\cacert.pem'
2025-07-13 10:33:25 | INFO | app.db.client | Supabase clients initialized successfully
2025-07-13 10:33:34 | INFO | ecommerce | 🚀 FastAPI E-Commerce application starting up...
2025-07-13 10:34:13 | INFO | ecommerce.auth | Login attempt for itslgenge01@gmail.com
2025-07-13 10:34:14 | INFO | ecommerce | Attempting Supabase login for itslgenge01@gmail.com
2025-07-13 10:34:14 | DEBUG | httpcore.connection | connect_tcp.started host='nluxtoziartsvilflbtf.supabase.co' port=443 local_address=None timeout=5.0 socket_options=None
2025-07-13 10:34:14 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x0000025057494EC0>
2025-07-13 10:34:14 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x0000025054551F40> server_hostname='nluxtoziartsvilflbtf.supabase.co' timeout=5.0
2025-07-13 10:34:14 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000250576A8690>
2025-07-13 10:34:14 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-07-13 10:34:14 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-07-13 10:34:14 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-07-13 10:34:14 | DEBUG | httpcore.http11 | send_request_body.complete
2025-07-13 10:34:14 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-07-13 10:34:16 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 400, b'Bad Request', [(b'Date', b'Sun, 13 Jul 2025 07:34:59 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'81'), (b'Connection', b'keep-alive'), (b'CF-Ray', b'95e719d82bd7738b-JNB'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Vary', b'Origin, Accept-Encoding'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'nluxtoziartsvilflbtf'), (b'X-Content-Type-Options', b'nosniff'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'95'), (b'x-sb-error-code', b'invalid_credentials'), (b'Set-Cookie', b'__cf_bm=9SN1M_TSGEbiQxY69u1zEw2W4_C2eGU0CUXW1VdpINc-1752392099-1.0.1.1-XPQYcg19SjiZS.mbFzc_9PxOI_4OH9erHUmiLQKRhbe73uoPSFdGHmMN7bbGISEIAaRnAAYQ.s8IuxnTPIX1ydTKGmuD9gEq05_9n534D4Q; path=/; expires=Sun, 13-Jul-25 08:04:59 GMT; domain=.supabase.co; HttpOnly; Secure; SameSite=None'), (b'Server', b'cloudflare'), (b'alt-svc', b'h3=":443"; ma=86400')])
2025-07-13 10:34:16 | INFO | httpx | HTTP Request: POST https://nluxtoziartsvilflbtf.supabase.co/auth/v1/token?grant_type=password "HTTP/1.1 400 Bad Request"
2025-07-13 10:34:16 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-07-13 10:34:16 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-07-13 10:34:16 | DEBUG | httpcore.http11 | response_closed.started
2025-07-13 10:34:16 | DEBUG | httpcore.http11 | response_closed.complete
2025-07-13 10:34:16 | ERROR | ecommerce | Supabase login failed for itslgenge01@gmail.com: Invalid login credentials
2025-07-13 10:34:16 | INFO | ecommerce.auth | Auth LOGIN: itslgenge01@gmail.com | Status: FAILED
2025-07-13 10:35:12 | INFO | ecommerce.auth | Login attempt for starkalyboy@gmail.com
2025-07-13 10:35:12 | INFO | ecommerce | Attempting Supabase login for starkalyboy@gmail.com
2025-07-13 10:35:12 | DEBUG | httpcore.connection | close.started
2025-07-13 10:35:12 | DEBUG | httpcore.connection | close.complete
2025-07-13 10:35:12 | DEBUG | httpcore.connection | connect_tcp.started host='nluxtoziartsvilflbtf.supabase.co' port=443 local_address=None timeout=5.0 socket_options=None
2025-07-13 10:35:13 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000250576A9F90>
2025-07-13 10:35:13 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x0000025054551F40> server_hostname='nluxtoziartsvilflbtf.supabase.co' timeout=5.0
2025-07-13 10:35:13 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000250576B0C30>
2025-07-13 10:35:13 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-07-13 10:35:13 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-07-13 10:35:13 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-07-13 10:35:13 | DEBUG | httpcore.http11 | send_request_body.complete
2025-07-13 10:35:13 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-07-13 10:35:14 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Sun, 13 Jul 2025 07:35:57 GMT'), (b'Content-Type', b'application/json'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'CF-Ray', b'95e71b4569de739a-JNB'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Content-Encoding', b'gzip'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Vary', b'Origin, Accept-Encoding'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'nluxtoziartsvilflbtf'), (b'X-Content-Type-Options', b'nosniff'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'97'), (b'Server', b'cloudflare'), (b'alt-svc', b'h3=":443"; ma=86400')])
2025-07-13 10:35:14 | INFO | httpx | HTTP Request: POST https://nluxtoziartsvilflbtf.supabase.co/auth/v1/token?grant_type=password "HTTP/1.1 200 OK"
2025-07-13 10:35:14 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-07-13 10:35:14 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-07-13 10:35:14 | DEBUG | httpcore.http11 | response_closed.started
2025-07-13 10:35:14 | DEBUG | httpcore.http11 | response_closed.complete
2025-07-13 10:35:14 | INFO | ecommerce | Supabase login response for starkalyboy@gmail.com: user_id=8716c5ff-5642-4fed-aa1d-33498e3cfe4d
2025-07-13 10:35:14 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
2025-07-13 10:35:14 | DEBUG | httpx | load_verify_locations cafile='C:\\Users\\troubleman96\\Desktop\\APIS\\Ecommerce\\backend\\venv\\Lib\\site-packages\\certifi\\cacert.pem'
2025-07-13 10:35:16 | DEBUG | httpcore.connection | connect_tcp.started host='nluxtoziartsvilflbtf.supabase.co' port=443 local_address=None timeout=5 socket_options=None
2025-07-13 10:35:17 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000250576B16E0>
2025-07-13 10:35:17 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x0000025057427EC0> server_hostname='nluxtoziartsvilflbtf.supabase.co' timeout=5
2025-07-13 10:35:17 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000250576C04D0>
2025-07-13 10:35:17 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2025-07-13 10:35:17 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-07-13 10:35:17 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2025-07-13 10:35:17 | DEBUG | httpcore.http11 | send_request_body.complete
2025-07-13 10:35:17 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2025-07-13 10:35:18 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Sun, 13 Jul 2025 07:36:01 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Content-Range', b'0-0/*'), (b'CF-Ray', b'95e71b5e49b073f9-JNB'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Content-Encoding', b'gzip'), (b'Content-Location', b'/profiles?id=eq.8716c5ff-5642-4fed-aa1d-33498e3cfe4d&select=%2A'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Vary', b'Accept-Encoding'), (b'content-profile', b'public'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'nluxtoziartsvilflbtf'), (b'X-Content-Type-Options', b'nosniff'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'4'), (b'Set-Cookie', b'__cf_bm=QF2FaFPT1uy5IypkQJngMW0KOFgaV_XHgn1Z6uKBcmo-1752392161-1.0.1.1-m14egaQ7PlV91uipfwogsnvDXbRCsq8nw3NV6Wxno.85UrDKB9xemENmWKqaKbozxqnC3rupXpYXhgxZLvUpkn.CYFSPCvTxYTwKLKcdS60; path=/; expires=Sun, 13-Jul-25 08:06:01 GMT; domain=.supabase.co; HttpOnly; Secure; SameSite=None'), (b'Server', b'cloudflare'), (b'alt-svc', b'h3=":443"; ma=86400')])
2025-07-13 10:35:18 | INFO | httpx | HTTP Request: GET https://nluxtoziartsvilflbtf.supabase.co/rest/v1/profiles?select=%2A&id=eq.8716c5ff-5642-4fed-aa1d-33498e3cfe4d "HTTP/1.1 200 OK"
2025-07-13 10:35:18 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
2025-07-13 10:35:18 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-07-13 10:35:18 | DEBUG | httpcore.http11 | response_closed.started
2025-07-13 10:35:18 | DEBUG | httpcore.http11 | response_closed.complete
2025-07-13 10:35:18 | INFO | ecommerce.auth | Auth LOGIN: starkalyboy@gmail.com | Status: SUCCESS
2025-07-13 10:35:45 | INFO | ecommerce | API Request: GET /api/v1/products/
2025-07-13 10:35:46 | DEBUG | httpcore.connection | close.started
